path	key	en	de
internal	comma	.	,
internal	separator	,	.
internal	yes	Yes	Ja
internal	no	No	Nein
internal	lang.de	German	Deutsch
internal	lang.en	English	Englisch
date	days	Sunday|Monday|Tuesday|Wednesday|Thursday|Friday|Saturday	Sonntag|Montag|Dienstag|Mittwoch|Donnerstag|Freitag|Samstag
date	days_short	Sun|Mon|Tue|Wed|Thu|Fri|Sat	Son|Mon|Die|Mit|Don|Fre|Sam
date	days_min	Su|Mo|Tu|We|Th|Fr|Sa	So|Mo|Di|Mi|Do|Fr|Sa
date	months	January|February|March|April|May|June|July|August|September|October|November|December	Jänner|Februar|März|April|Mai|Juni|Juli|August|September|Oktober|November|Dezember
date	months_short	Jan|Feb|Mar|Apr|May|Jun|Jul|Aug|Sep|Oct|Nov|Dec	Jan|Feb|Mär|Apr|Mai|Jun|Jul|Aug|Sep|Okt|Nov|Dez
date	today	Today	Heute
date	months_title	Months	Monate
date	clear	Clear	Zurücksetzen
date	week_start	1	1
date	format	mm/dd/yyyy	dd.mm.yyyy
date	format_datetime	mm/dd/yyyy, HH:MM	dd.mm.yyyy, HH:MM
date	format_yearmonth	mm/yyyy	mm/yyyy
date	format_time	HH:MM	HH:MM
date	title_format	MM yyyy	MM yyyy
strings	title.app_name	VHH MMSI	VHH MMSI
strings	title.map	Map	Map
strings	title.objects	Objects	Objekte
strings	title.agents	Agents	Agente
strings	title.events	Events	Events
strings	title.places	Places	Orte
strings	title.collections	Collections	Sammlungen
strings	title.create_object	Create Object	Objekt erstellen
strings	title.create_agent	Create Agent	Agenten erstellen
strings	title.create_event	Create Event	Event erstellen
strings	title.create_place	Create Place	Ort erstellen
strings	title.create_collection	Create Collection	Sammlung erstellen
strings	header.logout	LOGOUT	LOGOUT
strings	header.delete	Delete	Löschen von: 
strings	header.delete_relation	Delete Relation	Relation löschen
strings	header.delete_interstitial	Delete Interstitial Record	Eintrag löschen
strings	header.delete_thumbnail	Delete Thumbnail	Thumbnail
strings	header.additional_information	Additional Information	Zusatzinformation
strings	header.basic_fields	Basic Fields	Basisfelder
strings	header.preferred_label	Preferred Label	Bevorzugtes Label
strings	header.api_errors	Your changes could not be performed due to the following errors:	Ihre Änderungen konnten aufgrund folgender Fehler nicht durchgeführt werden:
strings	header.related_objects	Related Objects	Verknüpfte Objekte
strings	header.related_entities	Related Agents	Verknüpfte Agenten
strings	header.related_events	Related Events	Verknüpfte Events
strings	header.related_places	Related Places	Verknüpfte Orte
strings	header.related_collections	Related Collections	Verknüpfte Kollektionen
strings	header.derivate_status	Derivate Status	Derivate Status
strings	header.change_object	Change Object	Objekt festlegen
strings	header.change_agent	Change Agent	Agenten festlegen
strings	header.change_event	Change Event	Event festlegen
strings	header.change_place	Change Place	Ort festlegen
strings	header.change_collection	Change Collection	Kollektion festlegen
strings	header.discard_edited	Unsaved data	Ungespeichere Daten
strings	header.edit_relation_type	Edit Relation Type	Typ der Relation ändern
strings	button.delete	Delete	Löschen
strings	button.edit	Edit	Bearbeiten
strings	button.actions	Actions	Aktionen
strings	button.delete_object	Delete Object	Objekt löschen
strings	button.delete_agent	Delete Agent	Agenten löschen
strings	button.delete_event	Delete Event	Event löschen
strings	button.delete_place	Delete Place	Ort löschen
strings	button.delete_collection	Delete Collection	Kollektion löschen
strings	button.cancel	Cancel	Abbrechen
strings	button.add	Add	Neu:
strings	button.set_object	Set Object	Objekt setzen
strings	button.set_agent	Set Agent	Agent setzen
strings	button.set_place	Set Place	Ort setzen
strings	button.select	Select	Auswählen
strings	button.open_image_viewer	Open Image Viewer	Bild ansehen
strings	button.open_video_player	Open Video Player	Video-Player ansehen
strings	message.confirm_delete	Please confirm that your want to delete this attribute.	Bitte bestätigen Sie das Löschen.
strings	message.confirm_delete_relation	Please confirm that your want to delete this relation to	Bitte bestätigen Sie das Löschen der Relation zu
strings	message.confirm_delete_thumbnail	Please confirm that your want to delete this thumbnail	Bitte bestätigen Sie das Löschen dieses Thumbnails
strings	message.no_video_found	No video found	Kein Video gefunden
strings	message.no_image_found	No image found	Kein Bild gefunden
